date,province_name,net_profit_all,net_profit_foreign,net_profit_thai,no_tourist_all,no_tourist_foreign,no_tourist_occupied,no_tourist_thai,region_eng_central,region_eng_east,region_eng_east_northeast,region_eng_north,region_eng_south
2022-08-01,Phatthalung ,-0.8028876309768296,-1.1704877529667763,-0.7692706185597653,-0.389630022293343,-0.3171476210060812,-0.24924136703019412,-0.3484425083853129,0.0,0.0,0.0,0.0,1.0
2022-08-01,Phayao ,-0.22287062605490665,0.9019682982033466,-0.2489017594920179,-0.19838267127108652,1.0109912284350282,-0.27048672300767146,-0.20503653938192068,0.0,0.0,0.0,1.0,0.0
2022-08-01,Phetchabun ,1.228994713263787,1.0730741392117553,1.2592178338329563,0.8832795906921103,1.094170695669392,1.7979833778433258,0.8791721657262417,0.0,0.0,0.0,1.0,0.0
2022-08-01,Phichit ,-0.554652868000969,-0.978577400226466,-0.5226888059373499,-0.38626335410811974,-1.0182137077476108,-0.4384315443358663,-0.34154345811502435,0.0,0.0,0.0,1.0,0.0
2022-08-01,Phitsanulok ,1.1333333626563664,0.9748777775235702,1.1651915117182343,1.1124468832046948,1.0612306279453894,1.4835045848764847,1.1079047399437314,0.0,0.0,0.0,1.0,0.0
2022-08-01,Phrae ,0.12474871352956164,0.09360445301702293,0.15360086619221772,0.14844890652262968,0.16774353488463808,-0.07404020412992594,0.18145062955399863,0.0,0.0,0.0,1.0,0.0
2022-08-01,Prachinburi ,0.1877518274867785,-0.2767558014654133,0.22197734289797488,-0.09510212253240799,-0.5322074105229038,0.2527076288058141,-0.05364228442082533,0.0,1.0,0.0,0.0,0.0
2022-08-01,Ranong ,-0.5564380432329171,0.13244763319162026,-0.5383224017011107,-0.7528323976251007,0.09150017974717473,-0.3952592675509946,-0.7202782725343223,0.0,0.0,0.0,0.0,1.0
2022-08-01,Ratchaburi ,-0.2295717820594198,0.6777031787521997,-0.23269187444634562,0.33391697408693033,0.6510177578873052,0.4580938665536474,0.35396610402381323,1.0,0.0,0.0,0.0,0.0
2022-08-01,Rayong ,1.6437704139237712,1.4277463067639644,1.6653998112767132,1.1496876412206578,1.5506470187451193,2.117893550614091,1.1037178020031628,0.0,1.0,0.0,0.0,0.0
2022-08-01,Roi Et ,-0.864106650269663,-0.046674120467044125,-0.842754736502881,-0.5718868496081893,0.04706385220440447,-0.6510436722133559,-0.5363686035986979,0.0,0.0,1.0,0.0,0.0
2022-08-01,Sa Kaeo ,0.5744865631669991,0.031930316222876606,0.6138549336845045,0.13376329292030675,0.08051865308179079,-0.11232563297629718,0.16816009776337426,0.0,1.0,0.0,0.0,0.0
2022-08-01,Sakon Nakhon ,0.03975149777342785,0.2559588639296343,0.06356164521633648,0.46220301710963607,0.21623527496616363,0.17891674633769816,0.49116887044446816,0.0,0.0,1.0,0.0,0.0
2022-08-01,Samut Sakhon ,-1.045931234285055,-0.6449597116015868,-1.0130134171819913,-0.8891730139681335,-0.5595921449805326,-0.9327482223938454,-0.8481047707506978,1.0,0.0,0.0,0.0,0.0
2022-08-01,Samut Songkhram ,0.6967656947425092,0.5505070398832604,0.7297025128509042,1.940556591788031,0.7235274817220675,0.34687751137898126,1.9278945303348507,1.0,0.0,0.0,0.0,0.0
2022-08-01,Saraburi ,1.1483504720319877,0.09360445301702293,1.203849627718871,1.8779121206308191,0.4008592142810015,0.7796983347937795,1.8718101238514115,1.0,0.0,0.0,0.0,0.0
2022-08-01,Satun ,1.029193154295499,1.0075911752277846,1.054034132081415,0.46844709438398585,0.9122901127050299,0.6277262825063187,0.47656403982226775,0.0,0.0,0.0,0.0,1.0
2022-08-01,Sing Buri ,-0.8746869772366558,-0.3160170931424139,-0.8472421608132503,-0.5718131671484413,-0.21621989662616656,-1.0692341342004907,-0.5320505078134828,1.0,0.0,0.0,0.0,0.0
2022-08-01,Sisaket ,-0.6114040714566037,-0.18547263790429988,-0.5860504412816725,-0.18065204856828976,-0.2103159539711009,-0.5032514516345091,-0.14095348508821098,0.0,0.0,0.0,0.0,1.0
2022-08-01,Suphan Buri ,0.6722433345760027,0.09648718458168644,0.7133846431515183,1.601690928513446,0.39092384512740364,0.4582543373132156,1.604076864471462,1.0,0.0,0.0,0.0,0.0
2022-08-01,Surin ,-0.47661891898806374,-0.2346689739624438,-0.4499209587925278,-0.4108655810259789,-0.20013768080668118,0.10910181431882827,-0.37087294972878204,0.0,0.0,1.0,0.0,0.0
2022-08-01,Tak ,0.8152269429669821,0.2539043337804357,0.8583173243894251,0.5040595487866275,0.009434050781433969,1.2823854105607728,0.534879365218999,0.0,0.0,0.0,1.0,0.0
2022-08-01,Trang ,0.5158912123975065,0.3008930763847991,0.5497243212291206,-0.051588597101602435,0.21689712601457808,0.40189071716623903,-0.018359565145650257,0.0,0.0,0.0,0.0,1.0
2022-08-01,Trat ,1.4957207298504365,1.1002854909013653,1.5379449385500394,0.15581394429312534,0.8047344885760903,1.2027147759001915,0.16933813462244646,0.0,1.0,0.0,0.0,0.0
2022-08-01,Ubon Ratchathani ,0.2950991167301707,0.279937744472818,0.323867732747087,0.8396956780645571,0.31345639887667615,0.8326091609702326,0.8612462851343532,0.0,0.0,1.0,0.0,0.0
2022-08-01,Uthai Thani ,-0.4085795333881465,-1.4866099268997095,-0.3756594015321098,-0.0862730870502251,-1.5220211929033192,-0.5719099852720696,-0.0426356354389936,0.0,0.0,0.0,1.0,0.0
2022-08-01,Uttaradit ,-0.4934470226329602,-0.2121786334203376,-0.4671555475356173,-0.142705811763582,-0.15991252569853606,-0.018721817860852988,-0.10367418914274673,0.0,0.0,0.0,1.0,0.0
2022-08-01,Yala ,0.016373705106048325,1.6288836016558148,-0.20828297715691682,0.059202237210511995,1.830530590865289,0.6443830868919688,-0.1141061370583368,0.0,0.0,0.0,0.0,1.0
